#,Latency steering,Period steering,Latency velocity,Period velocity
6808,-1,-1,1733414992620397056,20863492
6809,18857216,23896588,-1,-1
6810,-1,-1,1733414992669808128,99410772
6811,31934976,96946372,-1,-1
6812,-1,-1,1733414992641480960,21672760
6813,20345344,25281213,-1,-1
6814,-1,-1,1733414992689629440,98148058
6815,32788736,96195679,-1,-1
6816,-1,-1,1733414992704511488,64882015
6817,31142144,63228175,-1,-1
6818,-1,-1,1733414992677180928,22669338
6819,30052864,34795507,-1,-1
6820,-1,-1,1733414992747178752,119997536
6821,48712448,122592645,-1,-1
6822,-1,-1,1733414992736510976,189332110
6823,33314816,179666936,-1,-1
6824,-1,-1,1733414992758212352,71701189
6825,33650176,66699329,-1,-1
6826,-1,-1,1733414992819106304,110893926
6827,44775936,122889284,-1,-1
6828,-1,-1,1733414992827510016,158403269
6829,31350528,147060566,-1,-1
6830,-1,-1,1733414992806077952,28568358
6831,25883392,30539024,-1,-1
6832,-1,-1,1733414992853539584,97460737
6833,30839040,94696678,-1,-1
6834,-1,-1,1733414992822387456,18848036
6835,16892928,21919357,-1,-1
6836,-1,-1,1733414992873089536,100701771
6837,30947584,97803013,-1,-1
6838,-1,-1,1733414992846938368,23848733
6839,18607872,25884169,-1,-1
6840,-1,-1,1733414992890288384,93349661
6841,30969600,90888043,-1,-1
6842,-1,-1,1733414992906211840,115923266
6843,33708288,116493942,-1,-1
6844,-1,-1,1733414992884418816,28207077
6845,16556800,28120296,-1,-1
6846,-1,-1,1733414992953413376,118994119
6847,33151232,119113254,-1,-1
6848,-1,-1,1733414992926021632,122608179
6849,25872640,125305993,-1,-1
6850,-1,-1,1733414992973661184,97639419
6851,32992000,93857082,-1,-1
6852,-1,-1,1733414992977305088,53643771
6853,33892864,52796915,-1,-1
6854,-1,-1,1733414992961241600,33936708
6855,30868480,35834078,-1,-1
6856,-1,-1,1733414992976296448,115054284
6857,42862080,120819462,-1,-1
6858,-1,-1,1733414993008920576,132624051
6859,41784832,126603322,-1,-1
6860,-1,-1,1733414993065708800,106788033
6861,30808320,106881839,-1,-1
6862,-1,-1,1733414993075743488,60034357
6863,30899456,58968190,-1,-1
6864,-1,-1,1733414993089715712,113972242
6865,33045504,114777843,-1,-1
6866,-1,-1,1733414993059793152,20077103
6867,14913792,19867459,-1,-1
6868,-1,-1,1733414993117056256,107263023
6869,37932032,109760056,-1,-1
6870,-1,-1,1733414993094897408,27840926
6871,23300352,30258997,-1,-1
6872,-1,-1,1733414993151438592,106541028
6873,32041216,102598325,-1,-1
6874,-1,-1,1733414993123633408,22194599
6875,17092352,22237078,-1,-1
6876,-1,-1,1733414993171685888,98052234
6877,31088896,97431094,-1,-1
6878,-1,-1,1733414993148061440,26375782
6879,23905280,28821752,-1,-1
6880,-1,-1,1733414993195619328,97557402
6881,30871296,94832393,-1,-1
6882,-1,-1,1733414993170150144,24530788
6883,22782464,27904593,-1,-1
6884,-1,-1,1733414993221974784,101824411
6885,32862208,98830101,-1,-1
6886,-1,-1,1733414993191357952,19382967
6887,17221632,22240231,-1,-1
6888,-1,-1,1733414993245131008,103772885
6889,33788672,101598972,-1,-1
6890,-1,-1,1733414993214859264,19728103
6891,14513152,19460343,-1,-1
6892,-1,-1,1733414993274383104,109523575
6893,37945088,111297881,-1,-1
6894,-1,-1,1733414993251451904,27068850
6895,18369024,24840942,-1,-1
6896,-1,-1,1733414993295628288,94176015
6897,32988416,93944035,-1,-1
6898,-1,-1,1733414993265206272,19577757
6899,17864960,22743580,-1,-1
6900,-1,-1,1733414993320191744,104985333
6901,32504832,102509211,-1,-1
6902,-1,-1,1733414993302402304,32210471
6903,26057984,34408020,-1,-1
6904,-1,-1,1733414993357276416,104873864
6905,31893760,101734959,-1,-1
6906,-1,-1,1733414993326653440,19376880
6907,18762496,23899643,-1,-1
6908,-1,-1,1733414993378607872,101954505
6909,32661504,98618059,-1,-1
6910,-1,-1,1733414993355408128,26799857
6911,19071488,26155743,-1,-1
6912,-1,-1,1733414993387041024,131632838
6913,16395008,131649956,-1,-1
6914,-1,-1,1733414993417660416,180619524
6915,41649920,180539542,-1,-1
6916,-1,-1,1733414993440572416,122911644
6917,44483072,122747900,-1,-1
6918,-1,-1,1733414993480513280,139940711
6919,31168256,140021433,-1,-1
6920,-1,-1,1733414993453184768,22671202
6921,19931648,25655219,-1,-1
6922,-1,-1,1733414993508387328,105202591
6923,34565376,101991770,-1,-1
6924,-1,-1,1733414993480892160,22504456
6925,20980480,26816446,-1,-1
6926,-1,-1,1733414993551844864,120952868
6927,31272704,117024158,-1,-1
6928,-1,-1,1733414993564173312,112328243
6929,31955968,113429985,-1,-1
6930,-1,-1,1733414993535206656,21032985
6931,18077440,22991941,-1,-1
6932,-1,-1,1733414993585993472,100786769
6933,31877120,97665277,-1,-1
6934,-1,-1,1733414993560920832,24927199
6935,16313344,25941057,-1,-1
6936,-1,-1,1733414993613624320,152703250
6937,33660416,152649027,-1,-1
6938,-1,-1,1733414993606528512,42904115
6939,37748736,41935637,-1,-1
6940,-1,-1,1733414993646105088,89576363
6941,33353984,88841700,-1,-1
6942,-1,-1,1733414993640160768,44055767
6943,38603520,44824686,-1,-1
6944,-1,-1,1733414993700448256,110287119
6945,46728704,124802520,-1,-1
6946,-1,-1,1733414993718993152,168544840
6947,32024832,153902135,-1,-1
6948,-1,-1,1733414993702862848,33869398
6949,31886848,36766065,-1,-1
6950,-1,-1,1733414993757518336,104655179
6951,31845376,99860840,-1,-1
