#,Latency steering,Period steering,Latency velocity,Period velocity
3580,-1,-1,1733238054010135296,27579651
3581,32865280,36728885,-1,-1
3582,-1,-1,1733238054064916224,154780574
3583,38563840,142939650,-1,-1
3584,-1,-1,1733238054074433024,159516526
3585,33335296,159903248,-1,-1
3586,-1,-1,1733238054100132608,75699975
3587,31180288,75572331,-1,-1
3588,-1,-1,1733238054131855872,131722730
3589,32265216,131828533,-1,-1
3590,-1,-1,1733238054138893568,107037337
3591,33963520,106451167,-1,-1
3592,-1,-1,1733238054111624960,22731587
3593,16219904,22790995,-1,-1
3594,-1,-1,1733238054124447488,112821915
3595,17452288,112816719,-1,-1
3596,-1,-1,1733238054190855168,166407477
3597,33824256,168136101,-1,-1
3598,-1,-1,1733238054193441536,52586603
3599,34522624,52555356,-1,-1
3600,-1,-1,1733238054167660288,124218201
3601,22230528,122447115,-1,-1
3602,-1,-1,1733238054213031424,145371059
3603,30822400,145632692,-1,-1
3604,-1,-1,1733238054191403008,28371592
3605,30985216,36025749,-1,-1
3606,-1,-1,1733238054206842880,115439574
3607,37430528,115681122,-1,-1
3608,-1,-1,1733238054257666304,50823750
3609,32004608,42938745,-1,-1
3610,-1,-1,1733238054258871296,51204549
3611,34307072,51813214,-1,-1
3612,-1,-1,1733238054275129088,66257468
3613,32811776,64752643,-1,-1
3614,-1,-1,1733238054247578112,22448801
3615,16038912,23050233,-1,-1
3616,-1,-1,1733238054266809344,169231206
3617,40096256,172397215,-1,-1
3618,-1,-1,1733238054285636096,118826613
3619,39135744,119141725,-1,-1
3620,-1,-1,1733238054302612224,116975980
3621,44790016,125379599,-1,-1
3622,-1,-1,1733238054327992064,125379690
3623,44626944,116591244,-1,-1
3624,-1,-1,1733238054343763456,115771015
3625,42885632,115961691,-1,-1
3626,-1,-1,1733238054385543936,91780373
3627,33229312,89036068,-1,-1
3628,-1,-1,1733238054402508288,66964220
3629,34018304,67640765,-1,-1
3630,-1,-1,1733238054378260480,25751899
3631,18115840,24644614,-1,-1
3632,-1,-1,1733238054395865088,167604567
3633,45832704,179666556,-1,-1
3634,-1,-1,1733238054446495232,100630090
3635,33123328,89075209,-1,-1
3636,-1,-1,1733238054483671040,37175452
3637,34096896,38827065,-1,-1
3638,-1,-1,1733238054451518976,117847981
3639,42752000,127529349,-1,-1
3640,-1,-1,1733238054488879104,137359884
3641,18738944,125638816,-1,-1
3642,-1,-1,1733238054525017088,36137949
3643,33282816,38370132,-1,-1
3644,-1,-1,1733238054532689920,107672480
3645,33102592,107688538,-1,-1
3646,-1,-1,1733238054526606592,43916301
3647,33644288,42432028,-1,-1
3648,-1,-1,1733238054545402880,68796273
3649,34511104,66225595,-1,-1
3650,-1,-1,1733238054516723968,21320949
3651,15452416,22819473,-1,-1
3652,-1,-1,1733238054557122560,140398302
3653,34800128,142597119,-1,-1
3654,-1,-1,1733238054530851840,23729127
3655,27964928,33082157,-1,-1
3656,-1,-1,1733238054583800064,152948240
3657,33444864,141172890,-1,-1
